event_id,run_id,channel,kind,start_ts,end_ts,start_t_s,duration_s,value_start,value_end,delta,value_min,value_max,peak_rate_per_s,mean_abs_z,direction
117,lh_and_evap,vialHeaterTemp,ramp,2026-06-02 17:44:15,2026-06-02 17:46:04,1081.0,109.0,37.773792,75.6174,37.843608,37.773792,230.68458,11.755882499999998,23.208711271801377,up
118,lh_and_evap,condenserTemp,ramp,2026-06-02 17:44:22,2026-06-02 17:44:39,1088.0,17.0,-34.135988,-33.210896,0.9250919999999994,-34.135988,-33.210896,0.10350000000000037,4.053421846676843,up
119,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:44:38,2026-06-02 17:45:26,1104.0,48.0,29.539968,1003.2383,973.6983319999999,27.348828,1003.2383,164.71595000000002,1241.7490064909796,up
120,lh_and_evap,powerMon,ramp,2026-06-02 17:44:41,2026-06-02 17:44:53,1107.0,12.0,23.89069,23.888558,-0.0021319999999995787,23.888286,23.891214,0.0008900000000000574,4.746990075207947,down
121,lh_and_evap,vialTemp,ramp,2026-06-02 17:44:59,2026-06-02 17:45:11,1125.0,12.0,36.3,36.0,-0.29999999999999716,33.599996,41.2,0.6499980000000001,4.150704064585009,down
122,lh_and_evap,heaterFanSpeed,ramp,2026-06-02 17:45:03,2026-06-02 17:45:07,1129.0,4.0,7230.0,10830.0,3600.0,0.0,10830.0,5415.0,4.1054182972678195,up
123,lh_and_evap,powerMon,ramp,2026-06-02 17:45:12,2026-06-02 17:45:27,1138.0,15.0,23.889122,23.901494,0.012371999999999161,23.866992,23.901494,0.013529000000000124,35.23144596653058,up
124,lh_and_evap,vialTemp,ramp,2026-06-02 17:45:18,2026-06-02 17:45:24,1144.0,6.0,36.3,34.0,-2.299999999999997,34.0,36.3,-0.5499999999999972,4.625079493553726,down
125,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:45:26,2026-06-02 17:45:29,1152.0,3.0,34.990988,34.02298,-0.9680080000000046,34.02298,34.990988,-0.33850400000000036,5.984832332461583,down
126,lh_and_evap,measuredSpeed,ramp,2026-06-02 17:45:26,2026-06-02 17:45:28,1152.0,2.0,80.541235,34.877232,-45.664003,34.877232,80.541235,-23.129111,6.70438954052068,down
127,lh_and_evap,targetSpeed,ramp,2026-06-02 17:45:26,2026-06-02 17:45:29,1152.0,3.0,43.116796,13.374762,-29.742034,13.374762,43.116796,-12.835552,6.1993449931810645,down
128,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:46:30,2026-06-02 17:47:07,1216.0,37.0,50.00648,54.254408,4.247927999999995,50.00648,54.254408,0.15741999999999834,9.407891587110688,up
129,lh_and_evap,measuredSpeed,ramp,2026-06-02 17:48:25,2026-06-02 17:48:29,1331.0,4.0,9.021362,96.45062,87.429258,9.021362,96.45062,26.748157,6.043058106863761,up
130,lh_and_evap,targetSpeed,ramp,2026-06-02 17:48:25,2026-06-02 17:48:28,1331.0,3.0,12.349996,42.650124,30.300127999999997,12.349996,42.650124,12.839364999999999,6.28689150619219,up
